"a" "b" "tempo"
"1" "665" 0
"1" "667" 0
"1" "668" 0
"1" "674" 0
"1" "675" 0
"1" "679" 0
"1" "682" 0
"1" "685" 0
"1" "687" 0
"1" "689" 0
"1" "693" 0
"1" "698" 0
"1" "701" 0
"1" "702" 0
"1" "710" 0
"1" "712" 0
"1" "713" 0
"1" "714" 0
"1" "718" 0
"1" "720" 3750
"1" "728" 0
"1" "729" 0
"1" "730" 11000
"1" "731" 0
"1" "736" 0
"1" "738" 0
"1" "745" 0
"1" "746" 0
"1" "749" 0
"1" "755" 0
"1" "757" 0
"1" "761" 0
"1" "768" 0
"1" "771" 0
"1" "772" 13000
"1" "773" 0
"1" "787" 0
"1" "791" 0
"1" "792" 0
"1" "798" 0
"1" "800" 0
"1" "801" 0
"1" "802" 15090.9090909091
"1" "806" 0
"1" "808" 8000
"1" "813" 18666.6666666667
"1" "823" 0
"1" "826" 0
"1" "828" 0
"1" "840" 0
"1" "846" 16750
"1" "848" 11000
"1" "849" 11000
"1" "851" 10636.3636363636
"1" "855" 0
"1" "860" 36666.6666666667
"1" "861" 6571.42857142857
"1" "862" 0
"1" "866" 0
"1" "867" 0
"1" "868" 29000
"1" "873" 7761.90476190476
"1" "877" 0
"1" "878" 0
"1" "879" 0
"1" "880" 0
"1" "881" 0
"1" "882" 20000
"1" "891" 19500
"1" "894" 0
"1" "911" 15000
"1" "918" 0
"1" "920" 14260.8695652174
"1" "926" 9142.85714285714
"1" "928" 0
"1" "934" 11000
"1" "940" 0
"1" "941" 14000
"1" "943" 0
"1" "945" 0
"1" "950" 0
"1" "952" 0
"1" "958" 0
"1" "960" 0
"1" "970" 0
"1" "971" 0
"1" "974" 0
"1" "975" 0
"1" "979" 0
"1" "980" 0
"1" "984" 0
"1" "986" 0
"1" "987" 13562.5
"1" "992" 0
"1" "993" 0
"1" "994" 15000
"1" "996" 26000
"1" "999" 0
"1" "1002" 0
"1" "1003" 6777.77777777778
"1" "1004" 0
"1" "1017" 13000
"1" "1027" 9962.96296296296
"1" "1030" 0
"1" "1038" 0
"1" "1041" 0
"1" "1046" 0
"1" "1048" 0
"1" "1052" 11000
"1" "1054" 0
"1" "1056" 0
"1" "1058" 7928.57142857143
"1" "1065" 0
"1" "1066" 0
"1" "1070" 8266.66666666667
"1" "1072" 0
"1" "1074" 15900
"1" "1075" 0
"1" "1081" 14500
"1" "1083" 4000
"1" "1084" 0
"1" "1092" 10600
"1" "1095" 0
"1" "1103" 0
"1" "1107" 0
"1" "1109" 38666.6666666667
"1" "1110" 0
"2" "3" 2461.53846153846
"2" "4" 1125
"2" "5" 7812.5
"2" "6" 13038.4615384615
"2" "7" 2080
"2" "8" 3373.13432835821
"2" "9" 13194.4444444444
"2" "10" 1650
"2" "11" 6064.51612903226
"2" "12" 4955.22388059701
"2" "13" 4653.0612244898
"2" "14" 9561.11111111111
"2" "15" 9684.21052631579
"2" "16" 6603.77358490566
"2" "17" 4419.35483870968
"2" "18" 3400
"2" "19" 11097.5609756098
"2" "20" 5969.69696969697
"2" "21" 13987.6543209877
"2" "22" 3363.63636363636
"2" "23" 1500
"2" "24" 12000
"2" "25" 6960
"2" "26" 10066.6666666667
"2" "27" 0
"2" "28" 11000
"2" "29" 3526.31578947368
"2" "30" 2090.90909090909
"2" "31" 6833.33333333333
"2" "32" 0
"2" "33" 7187.5
"2" "34" 5970.58823529412
"2" "35" 1708.33333333333
"2" "36" 2923.07692307692
"2" "37" 5370.37037037037
"2" "38" 3500
"2" "39" 6402.98507462687
"2" "40" 4652.17391304348
"2" "41" 1857.14285714286
"2" "42" 0
"2" "43" 3142.85714285714
"2" "44" 1470.58823529412
"2" "45" 3580.64516129032
"2" "46" 9518.51851851852
"2" "47" 0
"2" "48" 3894.73684210526
"2" "49" 6285.71428571429
"2" "50" 10400
"2" "51" 3344.8275862069
"2" "52" 5961.53846153846
"2" "53" 61666.6666666667
"2" "54" 4825
"2" "55" 5618.18181818182
"2" "56" 5565.21739130435
"2" "57" 142.857142857143
"2" "58" 5160.71428571429
"2" "59" 6600
"2" "60" 3404.7619047619
"2" "61" 4636.36363636364
"2" "62" 4000
"2" "70" 10800
"2" "73" 0
"2" "81" 0
"2" "83" 0
"2" "85" 28000
"2" "88" 21866.6666666667
"2" "90" 0
"2" "95" 14641.0256410256
"2" "98" 0
"2" "102" 0
"2" "105" 0
"2" "108" 3750
"2" "114" 6400
"2" "115" 0
"2" "119" 11000
"2" "120" 8235.29411764706
"2" "121" 3111.11111111111
"2" "135" 0
"2" "136" 0
"2" "139" 0
"2" "142" 0
"2" "149" 0
"2" "150" 17750
"2" "151" 7090.90909090909
"2" "153" 2000
"2" "157" 4333.33333333333
"2" "158" 0
"2" "159" 0
"2" "160" 0
"2" "161" 0
"2" "166" 0
"2" "176" 0
"2" "181" 0
"2" "190" 0
"2" "192" 0
"2" "194" 0
"2" "196" 0
"2" "199" 0
"2" "211" 0
"2" "212" 0
"2" "213" 0
"2" "214" 0
"2" "222" 0
"2" "225" 0
"2" "230" 0
"2" "239" 0
"2" "262" 0
"2" "267" 0
"2" "272" 0
"2" "278" 0
"2" "284" 0
"2" "287" 0
"2" "290" 0
"2" "292" 0
"2" "294" 5600
"2" "297" 0
"2" "306" 9173.91304347826
"2" "307" 0
"2" "309" 0
"2" "311" 0
"2" "318" 0
"2" "321" 0
"2" "322" 0
"2" "323" 60000
"2" "325" 0
"2" "333" 0
"2" "335" 0
"2" "336" 0
"2" "337" 10040
"2" "338" 20464.2857142857
"2" "344" 0
"2" "345" 14333.3333333333
"2" "348" 0
"2" "351" 0
"2" "353" 4666.66666666667
"2" "356" 0
"2" "358" 0
"2" "362" 0
"2" "363" 5666.66666666667
"2" "365" 0
"2" "367" 0
"2" "374" 0
"2" "375" 16666.6666666667
"2" "377" 18750
"2" "379" 16000
"2" "381" 0
"2" "384" 12000
"2" "395" 14000
"2" "396" 29875
"2" "401" 12333.3333333333
"2" "408" 2166.66666666667
"2" "410" 6777.77777777778
"2" "411" 0
"2" "422" 19000
"2" "423" 0
"2" "424" 0
"2" "427" 4272.72727272727
"2" "428" 0
"2" "429" 0
"2" "433" 6772.72727272727
"2" "434" 0
"2" "436" 9651.16279069767
"2" "437" 13527.7777777778
"2" "439" 6444.44444444444
"2" "445" 12000
"2" "446" 8000
"2" "455" 0
"2" "460" 9894.73684210526
"2" "463" 17869.5652173913
"2" "464" 0
"2" "465" 0
"2" "469" 0
"2" "471" 0
"2" "472" 7833.33333333333
"2" "473" 0
"2" "475" 0
"2" "476" 0
"2" "480" 0
"2" "486" 0
"2" "492" 0
"2" "500" 0
"2" "501" 0
"2" "505" 0
"2" "506" 0
"2" "507" 0
"2" "509" 12000
"2" "519" 0
"2" "522" 0
"2" "524" 0
"2" "526" 0
"2" "530" 0
"2" "534" 11500
"2" "540" 1400
"2" "542" 0
"2" "548" 28313.7254901961
"2" "550" 0
"2" "553" 0
"2" "556" 0
"2" "557" 14100
"2" "574" 14444.4444444444
"2" "575" 23018.1818181818
"2" "581" 0
"2" "585" 9466.66666666667
"2" "589" 0
"2" "592" 0
"2" "601" 0
"2" "603" 0
"2" "606" 0
"2" "611" 5222.22222222222
"2" "615" 0
"2" "616" 0
"2" "624" 0
"2" "631" 0
"2" "637" 0
"2" "638" 0
"2" "639" 0
"2" "641" 0
"2" "642" 11000
"2" "644" 0
"2" "651" 0
"2" "652" 0
"2" "654" 0
"2" "658" 0
"2" "660" 0
"2" "662" 0
"2" "668" 0
"2" "674" 0
"2" "675" 0
"2" "682" 0
"2" "683" 0
"2" "687" 0
"2" "690" 0
"2" "691" 3000
"2" "703" 0
"2" "712" 0
"2" "713" 0
"2" "715" 0
"2" "720" 0
"2" "723" 0
"2" "727" 0
"2" "728" 0
"2" "735" 0
"2" "736" 0
"2" "737" 0
"2" "738" 0
"2" "739" 0
"2" "743" 0
"2" "744" 0
"2" "745" 0
"2" "752" 0
"2" "754" 0
"2" "755" 0
"2" "756" 0
"2" "758" 0
"2" "762" 0
"2" "763" 0
"2" "764" 0
"2" "771" 0
"2" "772" 0
"2" "779" 0
"2" "792" 12000
"2" "796" 4000
"2" "802" 17833.3333333333
"2" "808" 20500
"2" "809" 11000
"2" "813" 11857.1428571429
"2" "820" 0
"2" "826" 0
"2" "827" 0
"2" "840" 0
"2" "842" 0
"2" "843" 0
"2" "849" 0
"2" "851" 4846.15384615385
"2" "855" 0
"2" "860" 8444.44444444445
"2" "861" 5166.66666666667
"2" "862" 0
"2" "863" 0
"2" "868" 0
"2" "873" 0
"2" "882" 21666.6666666667
"2" "888" 0
"2" "891" 11823.5294117647
"2" "900" 0
"2" "904" 27000
"2" "908" 0
"2" "916" 0
"2" "920" 11103.4482758621
"2" "922" 0
"2" "923" 0
"2" "926" 5230.76923076923
"2" "928" 0
"2" "934" 0
"2" "935" 0
"2" "939" 0
"2" "946" 0
"2" "947" 0
"2" "955" 0
"2" "957" 0
"2" "958" 0
"2" "960" 0
"2" "965" 0
"2" "966" 0
"2" "968" 0
"2" "970" 0
"2" "972" 0
"2" "978" 0
"2" "983" 0
"2" "987" 5823.52941176471
"2" "992" 0
"2" "995" 0
"2" "996" 0
"2" "998" 0
"2" "1003" 4333.33333333333
"2" "1005" 0
"2" "1007" 0
"2" "1021" 0
"2" "1027" 4300
"2" "1031" 0
"2" "1035" 0
"2" "1037" 0
"2" "1038" 3000
"2" "1045" 0
"2" "1046" 0
"2" "1048" 0
"2" "1054" 0
"2" "1056" 8200
"2" "1058" 19333.3333333333
"2" "1060" 0
"2" "1070" 10166.6666666667
"2" "1072" 0
"2" "1074" 19250
"2" "1075" 0
"2" "1080" 0
"2" "1081" 1272.72727272727
"2" "1082" 0
"2" "1083" 11666.6666666667
"2" "1087" 0
"2" "1090" 0
"2" "1091" 0
"2" "1092" 5666.66666666667
"2" "1093" 0
"2" "1095" 0
"2" "1107" 34500
"2" "1109" 114200
"3" "4" 5218.75
"3" "5" 6069.76744186046
"3" "6" 7117.64705882353
"3" "7" 8025.64102564103
"3" "8" 6413.04347826087
"3" "9" 8800
"3" "10" 10055.5555555556
"3" "11" 6558.82352941176
"3" "12" 4074.07407407407
"3" "13" 12025
"3" "14" 3954.54545454545
"3" "15" 4387.09677419355
"3" "16" 3113.63636363636
"3" "17" 10214.2857142857
"3" "18" 8909.09090909091
"3" "19" 7780
"3" "20" 3400
"3" "21" 4541.66666666667
"3" "22" 2727.27272727273
"3" "23" 4310.34482758621
"3" "24" 3384.61538461538
"3" "25" 5131.14754098361
"3" "26" 8879.31034482759
"3" "27" 1375
"3" "28" 1111.11111111111
"3" "29" 2333.33333333333
"3" "30" 5683.33333333333
"3" "31" 5454.54545454545
"3" "32" 8391.30434782609
"3" "33" 714.285714285714
"3" "34" 6666.66666666667
"3" "35" 3046.51162790698
"3" "36" 5825
"3" "37" 6608.69565217391
"3" "38" 6878.0487804878
"3" "39" 8432.43243243243
"3" "40" 4187.5
"3" "41" 0
"3" "42" 0
"3" "43" 2485.71428571429
"3" "44" 1342.10526315789
"3" "45" 6261.90476190476
"3" "46" 9608.69565217391
"3" "47" 2500
"3" "48" 6294.11764705882
"3" "49" 5692.30769230769
"3" "50" 8285.71428571429
"3" "51" 3491.80327868852
"3" "52" 8047.61904761905
"3" "53" 15666.6666666667
"3" "54" 3313.72549019608
"3" "55" 13735.2941176471
"3" "56" 9954.54545454545
"3" "57" 5500
"3" "58" 3707.31707317073
"3" "59" 7775
"3" "60" 5781.25
"3" "61" 4783.78378378378
"3" "62" 6571.42857142857
"3" "70" 15480
"3" "73" 9600
"3" "85" 7250
"3" "88" 8769.23076923077
"3" "90" 9800
"3" "92" 0
"3" "95" 22078.9473684211
"3" "102" 0
"3" "104" 0
"3" "106" 7000
"3" "108" 5000
"3" "114" 5900
"3" "115" 11222.2222222222
"3" "120" 22500
"3" "121" 2500
"3" "126" 0
"3" "136" 0
"3" "139" 0
"3" "144" 10142.8571428571
"3" "149" 0
"3" "150" 3750
"3" "151" 6730.76923076923
"3" "153" 0
"3" "157" 0
"3" "159" 0
"3" "167" 0
"3" "173" 0
"3" "176" 0
"3" "197" 0
"3" "207" 0
"3" "209" 0
"3" "210" 0
"3" "211" 0
"3" "214" 0
"3" "218" 12000
"3" "220" 0
"3" "224" 0
"3" "230" 0
"3" "236" 0
"3" "252" 0
"3" "253" 0
"3" "258" 0
"3" "265" 0
"3" "269" 0
"3" "270" 0
"3" "271" 9500
"3" "272" 0
"3" "284" 12000
"3" "285" 0
"3" "286" 0
"3" "287" 14000
"3" "292" 0
"3" "294" 14461.5384615385
"3" "297" 5333.33333333333
"3" "300" 0
"3" "306" 6307.69230769231
"3" "311" 3000
"3" "318" 8000
"3" "319" 0
"3" "320" 0
"3" "321" 0
"3" "323" 0
"3" "329" 0
"3" "330" 0
"3" "332" 0
"3" "337" 14314.2857142857
"3" "338" 16666.6666666667
"3" "343" 0
"3" "344" 0
"3" "345" 12500
"3" "350" 13000
"3" "353" 9500
"3" "363" 6000
"3" "365" 0
"3" "366" 0
"3" "375" 12466.6666666667
"3" "377" 17909.0909090909
"3" "394" 0
"3" "395" 4000
"3" "396" 0
"3" "401" 27521.7391304348
"3" "408" 0
"3" "410" 32600
"3" "423" 0
"3" "427" 6714.28571428571
"3" "428" 0
"3" "433" 23588.2352941176
"3" "435" 4571.42857142857
"3" "436" 7692.30769230769
"3" "437" 3304.34782608696
"3" "439" 13461.5384615385
"3" "440" 0
"3" "451" 0
"3" "459" 5750
"3" "460" 13840
"3" "462" 0
"3" "463" 30800
"3" "464" 0
"3" "467" 0
"3" "468" 0
"3" "469" 19000
"3" "471" 0
"3" "472" 2285.71428571429
"3" "476" 4000
"3" "487" 6333.33333333333
"3" "495" 0
"3" "506" 0
"3" "510" 0
"3" "516" 0
"3" "524" 0
"3" "530" 0
"3" "534" 4666.66666666667
"3" "540" 11000
"3" "541" 20000
"3" "548" 28361.1111111111
"3" "550" 0
"3" "551" 0
"3" "554" 0
"3" "557" 22833.3333333333
"3" "566" 0
"3" "571" 0
"3" "573" 0
"3" "574" 500
"3" "575" 13548.3870967742
"3" "585" 16200
"3" "592" 0
"3" "596" 13500
"3" "599" 0
"3" "611" 13400
"3" "615" 0
"3" "617" 0
"3" "621" 0
"3" "622" 0
"3" "626" 0
"3" "631" 0
"3" "632" 0
"3" "635" 0
"3" "637" 0
"3" "646" 0
"3" "653" 0
"3" "654" 0
"3" "657" 0
"3" "658" 0
"3" "662" 0
"3" "665" 0
"3" "667" 0
"3" "668" 0
"3" "671" 0
"3" "672" 0
"3" "674" 0
"3" "676" 22000
"3" "677" 0
"3" "682" 0
"3" "691" 0
"3" "697" 0
"3" "701" 0
"3" "704" 0
"3" "712" 0
"3" "713" 0
"3" "714" 0
"3" "721" 0
"3" "724" 0
"3" "725" 0
"3" "728" 0
"3" "730" 0
"3" "731" 0
"3" "736" 0
"3" "744" 0
"3" "752" 0
"3" "753" 0
"3" "755" 0
"3" "757" 0
"3" "759" 0
"3" "768" 0
"3" "770" 0
"3" "775" 0
"3" "787" 0
"3" "793" 0
"3" "794" 0
"3" "798" 0
"3" "802" 16000
"3" "807" 0
"3" "808" 7000
"3" "809" 0
"3" "813" 14703.7037037037
"3" "839" 0
"3" "846" 0
"3" "847" 0
"3" "848" 0
"3" "851" 15285.7142857143
"3" "852" 0
"3" "860" 15571.4285714286
"3" "861" 14500
"3" "870" 0
"3" "873" 18000
"3" "881" 0
"3" "882" 21909.0909090909
"3" "885" 0
"3" "891" 8214.28571428571
"3" "908" 4000
"3" "920" 8900
"3" "921" 0
"3" "926" 11888.8888888889
"3" "928" 0
"3" "939" 0
"3" "940" 0
"3" "941" 5666.66666666667
"3" "943" 0
"3" "946" 0
"3" "947" 0
"3" "948" 0
"3" "951" 0
"3" "958" 0
"3" "963" 0
"3" "969" 0
"3" "970" 0
"3" "972" 0
"3" "983" 0
"3" "984" 0
"3" "987" 5300
"3" "992" 0
"3" "994" 14500
"3" "995" 0
"3" "996" 4333.33333333333
"3" "998" 0
"3" "1002" 0
"3" "1003" 0
"3" "1005" 12000
"3" "1009" 0
"3" "1017" 4571.42857142857
"3" "1027" 7066.66666666667
"3" "1030" 0
"3" "1035" 0
"3" "1037" 0
"3" "1045" 0
"3" "1046" 27000
"3" "1051" 0
"3" "1058" 16400
"3" "1059" 0
"3" "1060" 0
"3" "1061" 0
"3" "1065" 0
"3" "1069" 19000
"3" "1070" 10130.4347826087
"3" "1072" 0
"3" "1074" 4650
"3" "1075" 0
"3" "1077" 0
"3" "1081" 0
"3" "1083" 0
"3" "1084" 15000
"3" "1091" 0
"3" "1092" 12000
"3" "1094" 0
"3" "1107" 13000
"3" "1109" 0
"4" "5" 2764.70588235294
"4" "6" 8500
"4" "7" 3041.66666666667
"4" "8" 2972.97297297297
"4" "9" 7937.5
"4" "10" 11563.3802816901
"4" "11" 3500
"4" "12" 5863.63636363636
"4" "14" 0
"4" "15" 2560.60606060606
"4" "17" 6511.90476190476
"4" "18" 4958.33333333333
"4" "19" 7680
"4" "20" 10764.7058823529
"4" "21" 0
"4" "22" 16745.4545454545
"4" "23" 4886.79245283019
"4" "24" 4564.10256410256
"4" "25" 5583.33333333333
"4" "26" 1285.71428571429
"4" "27" 133.333333333333
"4" "29" 1478.26086956522
"4" "30" 5250
"4" "31" 230.769230769231
"4" "32" 1045.45454545455
"4" "33" 2666.66666666667
"4" "34" 153.846153846154
"4" "35" 2000
"4" "36" 2750
"4" "37" 5000
"4" "38" 40500
"4" "39" 1055.55555555556
"4" "40" 8250
"4" "41" 0
"4" "42" 2125
"4" "43" 1500
"4" "44" 1111.11111111111
"4" "45" 2454.54545454545
"4" "46" 0
"4" "47" 0
"4" "48" 6200
"4" "49" 2555.55555555556
"4" "50" 9500
"4" "51" 2941.17647058824
"4" "52" 5351.85185185185
"4" "53" 2618.18181818182
"4" "54" 2620.68965517241
"4" "55" 2583.33333333333
"4" "56" 2371.42857142857
"4" "57" 2800
"4" "58" 1521.73913043478
"4" "59" 0
"4" "60" 3717.94871794872
"4" "61" 1833.33333333333
"4" "62" 3666.66666666667
"4" "70" 16812.5
"4" "73" 0
"4" "81" 4900
"4" "88" 7722.22222222222
"4" "90" 2200
"4" "93" 0
"4" "95" 4714.28571428571
"4" "102" 0
"4" "104" 0
"4" "105" 0
"4" "106" 0
"4" "113" 0
"4" "114" 10000
"4" "115" 9795.91836734694
"4" "120" 6900
"4" "121" 3500
"4" "126" 0
"4" "144" 0
"4" "148" 0
"4" "150" 9753.84615384615
"4" "151" 22000
"4" "153" 0
"4" "155" 0
"4" "159" 0
"4" "176" 0
"4" "269" 0
"4" "271" 95600
"4" "277" 0
"4" "279" 2000
"4" "284" 0
"4" "285" 4000
"4" "287" 8700
"4" "292" 0
"4" "294" 0
"4" "297" 123000
"4" "306" 4227.27272727273
"4" "311" 8190.47619047619
"4" "315" 0
"4" "318" 7333.33333333333
"4" "325" 0
"4" "329" 0
"4" "332" 0
"4" "337" 20681.8181818182
"4" "338" 5000
"4" "345" 3933.33333333333
"4" "353" 4250
"4" "357" 0
"4" "358" 0
"4" "360" 0
"4" "361" 0
"4" "363" 23923.0769230769
"4" "375" 8939.39393939394
"4" "377" 12746.0317460317
"4" "396" 2833.33333333333
"4" "401" 11040
"4" "403" 0
"4" "408" 0
"4" "410" 6000
"4" "424" 666.666666666667
"4" "425" 0
"4" "427" 8285.71428571429
"4" "433" 30379.3103448276
"4" "435" 0
"4" "436" 7826.08695652174
"4" "437" 3760
"4" "439" 13307.6923076923
"4" "446" 0
"4" "448" 0
"4" "459" 6000
"4" "460" 7076.92307692308
"4" "462" 0
"4" "463" 24234.375
"4" "465" 0
"4" "472" 7500
"4" "475" 0
"4" "487" 0
"4" "495" 0
"4" "501" 0
"4" "505" 0
"4" "506" 0
"4" "507" 0
"4" "511" 0
"4" "516" 0
"4" "517" 0
"4" "529" 0
"4" "534" 3428.57142857143
"4" "539" 0
"4" "540" 38666.6666666667
"4" "541" 0
"4" "543" 0
"4" "548" 55800
"4" "554" 0
"4" "557" 22644.4444444444
"4" "558" 2000
"4" "563" 0
"4" "574" 19880
"4" "575" 8500
"4" "585" 0
"4" "590" 0
"4" "596" 5333.33333333333
"4" "599" 0
"4" "609" 0
"4" "611" 10000
"4" "615" 0
"4" "617" 0
"4" "622" 0
"4" "631" 0
"4" "638" 0
"4" "639" 0
"4" "642" 0
"4" "676" 0
"4" "682" 0
"4" "689" 0
"4" "697" 0
"4" "702" 0
"4" "704" 0
"4" "705" 0
"4" "727" 0
"4" "731" 0
"4" "742" 0
"4" "745" 12000
"4" "751" 0
"4" "757" 0
"4" "763" 0
"4" "768" 0
"4" "784" 0
"4" "793" 0
"4" "796" 0
"4" "798" 0
"4" "799" 0
"4" "800" 0
"4" "802" 17000
"4" "813" 7342.85714285714
"4" "827" 0
"4" "836" 0
"4" "841" 0
"4" "846" 0
"4" "849" 0
"4" "851" 4800
"4" "860" 11463.4146341463
"4" "861" 201000
"4" "873" 5642.85714285714
"4" "881" 2000
"4" "882" 15083.3333333333
"4" "891" 5400
"4" "896" 0
"4" "900" 0
"4" "920" 12179.4871794872
"4" "921" 0
"4" "926" 14882.3529411765
"4" "928" 0
"4" "934" 0
"4" "936" 0
"4" "939" 0
"4" "941" 60000
"4" "942" 0
"4" "953" 0
"4" "957" 0
"4" "958" 0
"4" "959" 0
"4" "963" 3000
"4" "966" 0
"4" "968" 0
"4" "969" 0
"4" "972" 0
"4" "977" 0
"4" "987" 0
"4" "992" 0
"4" "993" 0
"4" "994" 26000
"4" "996" 4750
"4" "998" 2400
"4" "1003" 8103.44827586207
"4" "1005" 0
"4" "1006" 2000
"4" "1009" 0
"4" "1012" 0
"4" "1027" 0
"4" "1028" 0
"4" "1030" 0
"4" "1033" 0
"4" "1038" 0
"4" "1046" 0
"4" "1058" 5025
"4" "1065" 0
"4" "1067" 0
"4" "1070" 4142.85714285714
"4" "1074" 7228.57142857143
"4" "1075" 0
"4" "1081" 4046.51162790698
"4" "1082" 0
"4" "1083" 285.714285714286
"4" "1087" 8500
"4" "1088" 0
"4" "1092" 4941.17647058824
"4" "1107" 12000
"4" "1109" 6000
"5" "6" 2066.66666666667
"5" "7" 5275.86206896552
"5" "8" 3578.94736842105
"5" "9" 10255.3191489362
"5" "10" 3871.79487179487
"5" "11" 2560
"5" "12" 4684.21052631579
"5" "13" 4080
"5" "14" 2760.86956521739
"5" "15" 7807.69230769231
"5" "16" 9729.72972972973
"5" "17" 6325
"5" "18" 4944.44444444444
"5" "19" 2558.82352941176
"5" "20" 3829.26829268293
